100035,d,1250,1002,trelynn17
100094,w,1094,1141,shivangithegenius
100012,w,1500,1191,bourgris
100223,d,1002,1200,shivangithegenius
100099,d,1094,1141,shivangithegenius
100105,d,1141,1094,sureka_akshat
100017,b,1496,1500,ischia
100091,d,1607,1381,alkhan
100059,r,1381,1209,daniel_likes_chess
100071,w,1381,1272,daniel_likes_chess
100019,r,1439,1454,daniamurashov       
100026,w,1523,1469,nik221107
100119,d,1300,1094,slam_ment
100046,w,1520,1423,capa_jr             
100056,d,2108,1413,soultego
100015,d,1261,1322,skinnerua
100057,d,1392,1439,daniel_likes_chess
100078,d,1867,1381,subham777           
100089,d,1936,1381,roman12342005
100109,d,1094,1141,shivangithegenius
100123,w,1500,1094,g-ios               
100126,d,1676,1094,lex_v1              
100138,w,1094,1068,shivangithegenius   
100145,w,1500,1094,storm28rus          
100146,w,1307,1106,robotsmoke          
100158,d,1423,1113,ivangonzalez123     
100167,b,1078,1219,shivangithegenius   
100179,r,1825,1079,gmcarlsen403        
100188,d,1038,1328,shivangithegenius   
100200,d,1156,1056,biyanivedant01      
100210,d,1148,1077,chinmaysharma       
100219,d,1036,1358,shivangithegenius
100229,r,1203,1019,vihaandumir         
100234,d,1500,1019,shamlanaseer        
100238,w,1422,1000,medovich            
100250,d,1832,1000,sorethea            
100260,w,1569,1000,rico21              
100265,d,1500,1000,jojo58              
100277,b,1500,1000,jojo58              
100282,w,2449,1000,rajuppi             
100294,d,1207,1000,white_queen_1990    
100306,d,1000,1241,shivangithegenius   
100310,w,1500,1000,stephen789          
100314,w,2443,1000,rajuppi             
100320,w,1500,1000,hmbrgr              
100328,w,1500,1000,jjwrchess           
100330,d,1500,1000,jjwrchess           
100338,w,1343,1000,adnanraj            
100347,b,2436,1000,rajuppi             
100357,b,2436,1000,rajuppi             
100358,d,1500,1000,balkarec            
100360,w,1500,1000,lucasimeon          
100361,w,1000,1500,shivangithegenius   
100372,d,1000,1500,shivangithegenius   
100378,w,1521,1162,wing175             
100379,r,1407,1500,caramiecho72        
100380,w,1492,1458,mazyaraghgmail      
100383,d,1442,1414,wpc96               
100393,d,1294,1457,tbaruel             
100404,w,1525,1466,acahn               
100407,d,1579,1207,oldpaths            
100408,w,1567,1573,oldpaths            
100416,d,1605,1578,lc777               
100424,w,1939,1581,jordanfury          
100435,d,1568,1618,oldpaths            
100440,w,1755,1574,gio1212             
100452,w,1561,1596,oldpaths            
100456,d,1554,1500,oldpaths            
100458,w,1544,1461,oldpaths            
100459,d,1335,1563,efer003             
100463,d,1470,1579,fcolpo              
100469,r,1617,1590,chesschumpchamp     
100477,d,1588,1207,oldpaths            
100483,d,1547,1595,sale0706            
100484,w,1855,1599,redar1              
100496,w,1589,1547,oldpaths            
100498,w,1571,1728,oldpaths            
100506,w,1720,1579,tb-123              
100513,d,2105,1579,iris_foxspring      
100519,d,1560,1768,oldpaths            
100523,w,1552,1436,oldpaths            
100529,r,1536,1667,oldpaths            
100533,w,1521,1549,serai               
100542,d,1545,1251,oldpaths            
100554,w,1537,1408,oldpaths            
100557,b,1522,1512,oldpaths            
100559,r,1602,1532,euler_jr            
100568,d,1593,1543,euler_jr            
100569,d,1539,1556,krillnor            
100572,d,1548,1409,oldpaths            
100576,w,1539,1418,oldpaths            
100583,w,1603,1550,ehabhaddad          
100593,w,1542,1399,oldpaths            
100602,d,1877,1546,crushmik            
100607,d,1535,1134,oldpaths            
100609,r,1513,1784,oldpaths            
100615,w,1501,1445,oldpaths            
100616,w,1500,1500,lotfibma            
100622,d,1745,1714,avelez8             
100627,b,1734,1748,avelez8             
100635,w,1942,1739,salah04             
100641,w,1724,1855,avelez8             
100645,w,1951,1729,majid_alsalhi       
100650,w,1726,1388,avelez8             
100653,d,1806,1735,mrmaccc             
100657,d,1728,1597,avelez8             
100666,w,1743,1738,laeca53             
100671,w,1721,1750,totoymate           
100681,w,1746,1487,avelez8             
100683,d,1735,1744,avelez8             
100695,d,1631,1749,yolandoparada       
100696,d,1396,1769,murattibogurcu      
100706,d,1760,1795,hunecel             
100718,w,1729,1795,hafedfree           
100725,d,1784,1795,cdvh                
100731,w,1770,1872,cdvh                
100732,d,1721,1783,raubstein           
100743,d,1768,1884,cdvh                
100755,d,1756,1756,cdvh                
100764,w,1724,1958,cdvh                
100772,d,1706,2036,cdvh                
100783,w,1706,1000,cdvh                
100791,d,1219,1244,sassou              
100801,w,1215,1000,sassou              
100813,d,1201,1350,sassou              
100820,d,1280,1210,alpheus23           
100831,d,1139,1212,sureka_akshat       
100835,d,1341,1220,kapi77              
100846,d,1359,1234,cohiba_313          
100854,d,1236,1275,bagelsfu            
100862,w,1433,1282,sabayossi           
100866,d,1276,1132,sassou              
100874,w,1276,1308,sassou              
100883,d,1266,1228,sassou              
100893,d,1409,1273,popsun              
100902,w,1338,1277,mdaboczi            
100912,w,1263,1336,sassou              
100916,w,1316,1273,rougethunder        
100920,w,1248,1253,sassou              
100932,d,1233,1335,sassou              
100933,w,1223,1189,sassou              
100936,d,1204,1443,sassou              
100939,r,1227,1216,failedocean         
100946,d,1215,1219,sassou              
100947,b,1227,1227,fastandbulbous420   
100957,b,1550,1225,minimouf            
100969,r,1325,1234,goodolddaystr       
100974,d,1221,1212,sassou              
100986,d,1478,1226,vladimir_shindin    
100997,d,1626,1228,martin74            
101003,w,1191,1228,gotochess           
